location,area_sqft,bedrooms,bathrooms,stories,age_years,garage,balcony,basement,nearby_school_score,crime_rate,property_type,price
Hillview,2538,2,2,2,37,1,1,0,6.96,0.37,Apartment,1006070.05
Uptown,1854,3,1,1,39,2,1,0,8.69,0.97,Townhouse,824839.3
Uptown,2073,2,2,3,21,0,0,0,9.56,0.62,Condo,983504.08
Suburban,2036,2,2,3,36,2,1,1,9.6,1.13,Condo,941566.26
Riverside,1640,1,2,3,26,1,1,0,5.79,0.09,Condo,821696.22
Old Town,2464,2,1,2,1,2,0,0,6.02,0.67,Apartment,901634.31
Old Town,2458,5,1,1,28,1,0,0,8.77,0.99,Villa,900213.54
Downtown,2426,5,2,2,0,0,1,1,8.16,0.72,Townhouse,1046924.32
Old Town,2945,4,3,1,32,2,1,1,9.53,0.4,Apartment,1081767.8
Suburban,2897,4,3,1,14,2,1,1,6.57,0.72,Villa,1076708.82
Uptown,1894,4,3,2,5,0,0,1,9.24,1.28,Apartment,970502.87
Hillview,2305,3,1,2,10,0,1,1,8.42,0.35,Apartment,1020019.3
Lakeview,1757,3,2,1,27,1,1,1,5.98,0.58,Apartment,806818.19
Uptown,2113,4,2,3,33,1,0,1,5.63,1.49,Condo,946093.92
Riverside,1770,4,2,1,22,1,1,1,8.51,1.37,Condo,865715.63
Lakeview,2991,3,2,2,6,0,0,0,5.79,0.1,Villa,1126188.29
Riverside,2300,3,2,2,36,1,0,1,8.97,0.82,Apartment,941767.17
Riverside,1980,3,1,2,31,1,1,0,7.79,0.14,Villa,903257.8
Lakeview,2756,2,3,3,16,2,0,0,7.38,1.39,Villa,1170318.97
Riverside,906,2,3,3,22,1,1,0,6.38,0.69,Apartment,729547.35
Downtown,992,1,1,3,38,1,1,1,9.92,0.66,Townhouse,756505.12
Old Town,2538,3,2,2,15,0,1,0,8.61,0.45,Condo,971726.58
Uptown,2133,4,2,1,1,1,1,0,8.89,0.87,Condo,951459.93
Suburban,2238,4,3,2,5,1,1,0,8.84,0.26,Condo,990416.14
Old Town,1370,5,3,2,24,0,1,1,7.92,1.21,Condo,821242.91
Downtown,2087,1,2,2,39,2,1,0,9.7,0.76,Apartment,868344.37
Hillview,3202,4,3,2,29,2,1,1,7.92,0.87,Townhouse,1262644.64
Old Town,2553,4,3,1,24,0,0,1,7.6,1.27,Townhouse,954833.42
Riverside,2193,3,3,2,12,1,0,1,6.37,0.32,Apartment,923429.2
Suburban,1859,2,1,3,17,2,0,0,6.41,0.3,Apartment,824224.98
Old Town,1883,2,3,2,1,0,1,0,8.68,0.66,Townhouse,929976.86
Hillview,929,4,2,3,14,0,1,1,6.67,1.19,Townhouse,776232.94
Lakeview,2242,5,1,3,24,1,1,0,8.64,0.13,Apartment,1041854.66
Old Town,2565,4,3,3,36,0,0,0,9.76,1.2,Villa,1096721.98
Suburban,1233,3,3,1,36,1,0,0,7.2,0.78,Apartment,647223.12
Uptown,1736,4,2,3,32,0,0,0,5.49,0.86,Apartment,778466.9
Hillview,1463,1,2,2,0,2,1,0,8.33,0.87,Townhouse,861134.24
Hillview,1569,4,2,2,32,1,1,0,5.05,0.13,Townhouse,819904.55
Downtown,2129,1,1,2,8,0,0,0,8.94,0.41,Condo,860049.71
Riverside,954,5,3,1,24,2,1,1,7.63,1.15,Condo,736202.75
Uptown,2438,5,1,3,37,0,0,1,7.45,0.65,Apartment,1025120.1
Uptown,2515,3,2,2,35,1,1,1,7.85,0.86,Villa,1053887.46
Old Town,1962,2,1,3,26,2,1,0,7.58,1.42,Condo,766029.79
Uptown,736,4,3,3,11,2,0,1,6.62,0.12,Apartment,840430.31
Uptown,1552,4,3,2,20,0,1,0,6.41,0.7,Condo,827316.72
Riverside,2778,4,2,3,28,1,1,0,7.08,0.57,Condo,1118657.94
Lakeview,572,3,2,2,20,2,1,1,9.47,0.2,Apartment,779240.2
Riverside,1909,2,3,2,16,2,0,0,5.68,1.43,Apartment,839723.95
Suburban,1451,1,3,3,16,0,0,0,6.62,1.44,Townhouse,715016.48
Hillview,2543,2,3,3,23,2,0,1,5.96,0.5,Villa,1106588.31
Hillview,1729,3,1,3,1,0,0,0,7.14,1.42,Condo,831378.77
Downtown,2322,3,2,3,39,1,1,0,5.67,0.1,Townhouse,976544.6
Uptown,2411,3,3,2,4,0,1,1,8.8,1.47,Townhouse,1069830.23
Suburban,3110,2,1,3,39,0,1,0,5.52,1.26,Apartment,933167.02
Uptown,1988,5,3,1,1,0,0,1,8.33,0.36,Villa,991219.46
Downtown,2307,2,1,3,20,0,1,0,6.34,0.92,Apartment,854570.48
Uptown,1283,5,3,2,16,2,1,0,7.36,1.21,Apartment,888666.28
Uptown,2755,2,2,2,22,1,1,0,6.0,0.51,Apartment,980918.57
Uptown,1682,3,3,3,17,1,1,0,8.65,0.56,Condo,956442.21
Hillview,1792,4,3,1,35,1,1,0,9.74,0.96,Apartment,925464.69
Old Town,2088,2,1,3,0,1,0,1,6.11,0.26,Townhouse,876770.92
Hillview,1240,2,2,2,39,0,0,0,9.77,0.22,Townhouse,719120.59
Suburban,2226,2,3,2,27,0,1,1,6.63,0.41,Apartment,862158.33
Uptown,2632,5,1,1,31,2,0,1,7.79,1.12,Condo,1010612.23
Old Town,2261,1,3,2,5,0,0,0,8.51,0.58,Townhouse,896742.21
Old Town,1226,3,1,3,2,2,1,1,6.0,0.79,Apartment,719669.26
Old Town,2032,4,2,1,15,2,0,0,7.22,0.33,Apartment,888361.49
Old Town,2508,4,2,2,12,0,1,0,5.34,0.33,Townhouse,946727.42
Downtown,1067,3,3,3,31,0,0,1,8.49,0.99,Townhouse,811785.37
Downtown,1509,1,3,2,35,0,0,0,7.08,0.21,Villa,801310.26
Suburban,2582,1,2,2,17,1,0,1,9.46,1.02,Villa,973296.89
Downtown,2249,3,1,2,30,0,0,1,6.37,0.63,Apartment,858591.97
Old Town,2327,5,2,1,2,2,0,1,9.62,1.02,Apartment,1019746.34
Hillview,3123,1,2,2,29,1,0,0,5.71,0.6,Townhouse,1060047.76
Hillview,2358,5,3,3,3,2,1,1,8.03,1.28,Villa,1234271.58
Old Town,2462,4,3,2,26,2,0,1,6.54,0.13,Villa,1088388.24
Uptown,3591,1,2,2,15,1,0,0,5.91,1.35,Villa,1083144.47
Old Town,1982,2,3,1,16,1,1,0,5.47,0.44,Townhouse,800986.63
Downtown,1661,2,1,3,11,0,0,0,8.28,0.11,Villa,861065.64
Uptown,2335,5,1,3,16,0,0,1,6.17,0.87,Villa,1066754.2
Hillview,2341,3,1,3,34,1,0,1,7.86,0.38,Villa,1081839.49
Hillview,1810,2,3,2,32,1,0,1,9.9,0.72,Townhouse,923836.78
Old Town,1532,2,1,2,13,1,1,0,6.58,1.21,Apartment,673210.55
Old Town,3370,3,2,2,11,0,1,0,5.17,1.2,Condo,1023012.74
Downtown,2280,1,3,1,20,2,0,0,5.71,0.92,Townhouse,892319.78
Old Town,1697,2,3,1,27,1,1,1,5.6,1.47,Apartment,650369.54
Uptown,2604,1,3,2,7,1,0,0,7.32,0.72,Condo,940679.44
Riverside,2040,4,1,2,29,1,0,1,8.72,0.11,Condo,929353.71
Hillview,1961,4,2,1,37,1,0,1,6.48,1.24,Apartment,763294.58
Downtown,2409,3,2,3,33,1,0,1,5.73,0.37,Apartment,985784.31
Riverside,1389,1,3,2,21,2,0,0,8.2,0.31,Apartment,805225.19
Old Town,2294,2,2,3,12,1,0,0,6.51,0.15,Apartment,953622.0
Lakeview,3152,5,2,1,12,0,1,1,7.88,0.53,Townhouse,1155795.79
Suburban,2356,2,1,1,29,2,0,0,9.67,0.52,Apartment,878909.54
Suburban,1893,1,1,1,18,0,0,1,6.46,0.49,Villa,750027.75
Riverside,1821,1,2,3,4,0,0,0,7.56,0.91,Condo,789387.0
Lakeview,1874,5,1,1,27,0,0,0,9.03,1.14,Townhouse,882803.69
Uptown,1960,1,2,3,5,2,0,1,8.46,1.41,Townhouse,965458.56
Downtown,1892,3,3,3,39,1,0,1,8.76,0.19,Apartment,966223.84
Suburban,2604,5,2,1,16,0,0,0,8.86,0.27,Condo,993454.51
Uptown,1147,4,2,2,13,2,0,1,7.7,0.91,Apartment,808976.64
Downtown,2574,3,1,1,2,0,0,0,7.68,0.19,Townhouse,964421.85
Uptown,1891,2,2,2,6,2,0,0,8.59,0.59,Townhouse,930368.5
Suburban,2307,1,2,1,37,2,0,1,8.49,0.96,Villa,900937.26
Lakeview,1480,1,1,3,21,0,0,0,8.35,1.18,Condo,739476.71
Riverside,2831,5,1,3,36,2,1,0,6.91,0.37,Condo,1086333.93
Old Town,2785,1,3,1,38,1,1,0,9.14,1.02,Apartment,922988.32
Hillview,2628,1,3,1,1,0,0,1,6.18,0.99,Condo,904420.81
Downtown,1267,5,2,3,15,1,0,0,5.78,1.3,Apartment,814674.51
Old Town,2556,3,3,2,33,1,0,0,6.73,0.5,Condo,966885.81
Old Town,2323,2,1,2,19,0,1,0,6.27,1.14,Condo,766012.14
Uptown,1217,4,1,3,20,2,1,1,8.32,1.14,Townhouse,877204.51
Lakeview,2087,3,3,1,22,0,1,0,6.16,0.4,Condo,862217.5
Hillview,2300,5,1,3,28,2,0,0,8.28,0.95,Condo,1011892.18
Riverside,2406,3,2,2,37,2,0,0,7.57,1.03,Townhouse,942949.37
Riverside,2197,4,1,2,35,1,0,0,5.76,0.45,Apartment,849402.08
Riverside,2260,5,1,2,25,0,1,0,6.29,0.71,Villa,951235.22
Uptown,2910,3,2,3,23,0,1,1,7.61,0.68,Condo,1112937.0
Riverside,2774,2,2,2,14,0,0,0,8.67,1.17,Apartment,983811.87
Suburban,523,5,3,1,4,1,1,0,6.99,0.05,Condo,647610.85
Riverside,1925,2,3,1,28,2,0,1,6.16,0.78,Apartment,806482.54
Downtown,2009,1,2,3,0,0,0,0,6.48,0.32,Townhouse,933529.17
Downtown,1136,3,2,2,27,2,0,0,5.48,0.99,Townhouse,667803.0
Downtown,2152,5,1,1,19,0,1,0,5.13,1.04,Apartment,790261.14
Uptown,2787,1,1,1,31,0,0,1,9.87,0.78,Villa,948872.65
Uptown,1502,5,1,1,37,1,1,1,5.48,0.84,Apartment,730075.04
Hillview,2285,5,3,3,22,2,1,1,5.62,0.51,Villa,1152038.81
Old Town,1596,5,1,3,22,2,0,0,9.35,0.5,Condo,923933.89
Uptown,1730,3,2,2,19,1,1,0,8.32,1.13,Apartment,858188.02
Suburban,2913,2,3,1,14,0,0,0,7.18,0.24,Condo,936899.56
Lakeview,1802,3,3,2,3,0,1,1,8.25,1.17,Townhouse,934255.95
Old Town,2354,1,2,1,1,2,0,0,9.67,1.0,Townhouse,906917.07
Lakeview,1071,5,1,2,28,0,0,0,5.5,1.33,Villa,732464.52
Suburban,3124,4,2,2,36,2,1,0,6.22,0.43,Condo,1150143.91
Old Town,2431,3,2,3,2,2,1,1,9.3,0.78,Villa,1146549.89
Hillview,2000,3,1,1,13,2,0,1,8.9,0.11,Townhouse,925687.5
Old Town,2417,4,3,1,24,0,1,1,9.97,1.37,Apartment,938513.87
Old Town,1325,3,3,1,28,0,0,0,6.57,1.03,Condo,640624.4
Suburban,2750,5,1,2,29,0,1,1,9.72,0.95,Townhouse,1041615.23
Riverside,1922,5,1,2,27,1,1,1,6.72,1.11,Apartment,871316.45
Suburban,1988,5,1,1,3,1,0,1,8.58,0.46,Townhouse,857655.57
Riverside,1830,4,3,3,10,0,1,1,9.41,0.93,Apartment,996228.74
Hillview,1781,4,1,2,18,1,1,1,5.85,1.21,Villa,875670.31
Hillview,2482,2,3,3,2,0,0,1,6.03,0.18,Townhouse,1066017.37
Hillview,2241,1,3,2,13,1,0,0,7.9,1.44,Condo,952823.07
Riverside,2458,3,2,1,15,0,0,1,9.22,1.34,Villa,927702.07
Lakeview,2095,5,2,1,39,2,0,0,5.39,1.45,Apartment,869917.98
Downtown,2382,1,3,2,12,0,0,0,9.25,1.22,Villa,998408.04
Riverside,1870,3,3,2,38,2,1,0,6.72,0.48,Condo,894458.41
Downtown,3326,1,1,3,28,0,1,1,7.03,0.89,Condo,1023725.19
Riverside,1238,3,1,3,27,0,0,1,6.7,0.22,Apartment,762399.92
Lakeview,2794,1,2,1,32,0,0,1,9.56,1.14,Apartment,946836.15
Riverside,2852,4,1,1,33,1,1,1,5.65,0.27,Condo,951771.48
Lakeview,1631,5,1,1,8,2,1,1,7.87,1.31,Townhouse,887217.93
Old Town,3326,4,3,1,16,0,0,1,5.74,0.4,Townhouse,1072726.34
Hillview,2648,4,2,1,21,2,0,0,9.64,0.28,Apartment,1050285.51
Old Town,2634,2,2,1,39,2,0,0,8.99,0.15,Villa,992243.76
Suburban,2115,3,1,2,1,1,0,0,6.17,1.08,Condo,810769.17
Uptown,1981,1,1,1,19,1,0,1,6.49,0.32,Apartment,785552.21
Lakeview,1985,2,1,1,8,2,0,1,6.91,0.34,Apartment,877239.89
Suburban,2315,3,2,1,8,2,0,1,7.03,0.3,Villa,1021341.74
Uptown,2871,4,1,3,30,0,0,0,9.09,0.49,Townhouse,1107689.17
Suburban,2200,1,2,2,8,2,0,0,7.82,1.41,Condo,840318.76
Uptown,1599,5,1,3,31,1,0,1,7.14,0.76,Townhouse,869276.44
Uptown,2553,3,2,1,39,0,0,1,8.6,0.43,Villa,1051373.58
Old Town,2607,5,2,1,31,2,1,0,7.29,0.3,Villa,1058412.7
Uptown,2460,3,1,2,6,2,0,0,5.64,0.08,Apartment,954889.5
Suburban,2510,3,2,2,5,1,0,1,5.54,0.58,Villa,1040728.88
Downtown,1951,4,1,1,17,2,1,0,6.63,0.21,Apartment,894884.06
Downtown,1589,5,1,1,22,0,1,0,8.01,0.09,Apartment,758438.06
Old Town,1622,1,3,2,31,2,0,0,5.67,0.2,Townhouse,752323.13
Lakeview,1200,3,3,1,16,1,0,0,7.75,0.51,Villa,818091.88
Downtown,2230,1,2,2,6,0,0,0,6.35,1.14,Townhouse,814847.87
Old Town,2054,3,3,3,39,1,1,0,8.48,0.15,Apartment,953105.51
Hillview,1858,5,2,2,36,0,0,0,5.14,1.03,Townhouse,860639.05
Suburban,474,5,1,2,26,1,0,1,7.35,0.95,Apartment,558788.48
Uptown,1414,2,3,2,27,2,1,0,5.26,1.33,Townhouse,782445.01
Riverside,2716,2,2,3,37,1,1,1,6.65,0.32,Townhouse,1076892.45
Uptown,1734,3,2,2,18,2,0,0,5.08,1.2,Villa,868125.51
Hillview,2298,2,2,2,5,1,0,1,7.35,1.3,Apartment,934749.59
Old Town,1335,1,1,3,24,2,1,0,8.84,1.47,Condo,700797.46
Suburban,2891,2,3,1,18,0,1,1,5.5,1.22,Apartment,931751.05
Old Town,2021,3,2,1,31,2,1,1,8.68,0.23,Apartment,849557.0
Uptown,2260,3,2,2,30,1,1,1,7.92,1.42,Villa,994469.8
Downtown,3379,5,1,1,18,2,0,1,7.52,1.23,Condo,1135457.89
Uptown,2934,3,3,1,14,0,1,1,8.0,0.36,Villa,1157060.28
Old Town,1931,2,1,1,16,0,1,1,6.68,0.29,Villa,764811.28
Uptown,1774,4,1,3,25,2,1,1,8.55,1.41,Townhouse,947476.6
Hillview,1921,4,3,2,25,2,0,0,8.9,0.28,Villa,1033533.38
Old Town,2380,3,1,3,20,2,0,1,8.89,1.18,Townhouse,1011932.11
Riverside,2042,3,2,1,21,1,0,1,6.35,0.64,Villa,865164.6
Hillview,1883,2,3,2,39,1,1,1,8.27,1.1,Townhouse,893988.15
Downtown,2907,5,3,2,10,1,1,1,5.74,0.18,Villa,1189689.59
Hillview,2037,5,2,2,6,2,0,0,7.48,1.1,Villa,1054487.64
Downtown,3365,1,3,3,31,0,1,1,5.01,0.79,Villa,1115525.99
Hillview,2150,2,3,3,37,0,1,1,5.97,1.36,Villa,934245.85
Hillview,3082,2,3,2,24,0,1,1,8.16,0.32,Condo,1154769.04
Downtown,2297,5,1,3,16,1,0,0,9.37,0.21,Villa,1113106.99
Uptown,2630,1,3,1,13,2,0,1,5.25,0.33,Condo,990486.13
Riverside,1701,2,1,1,18,1,0,0,7.79,0.16,Townhouse,749996.1
Uptown,1630,2,3,3,2,1,1,0,8.18,1.47,Townhouse,916771.85
Downtown,2353,3,1,1,21,1,1,1,9.66,0.23,Villa,1012247.48
Suburban,2644,2,1,1,10,0,0,0,8.28,0.34,Villa,962602.16
Old Town,2122,3,1,1,10,2,0,1,5.52,1.22,Condo,816206.82
Suburban,1392,4,2,1,22,2,1,1,5.73,0.41,Apartment,778190.93
Riverside,1352,5,1,2,38,2,1,0,8.18,0.37,Townhouse,820839.53
Hillview,1315,1,1,1,8,2,0,0,6.08,1.02,Condo,627229.26
Suburban,1128,1,2,2,36,1,0,0,9.64,0.63,Townhouse,710459.79
Hillview,2160,1,3,3,20,2,1,1,9.6,1.26,Apartment,1067818.99
Downtown,2719,5,2,1,38,1,1,1,9.74,0.98,Townhouse,1108490.47
Suburban,2093,4,2,3,15,2,1,1,6.46,0.47,Apartment,992466.23
Hillview,857,3,2,2,39,1,1,0,8.58,0.92,Condo,719455.21
Uptown,1995,4,2,2,26,2,0,0,8.32,1.31,Villa,1000534.69
Suburban,2010,3,2,2,26,0,1,0,5.18,0.58,Villa,843723.57
Riverside,3253,2,2,1,22,0,1,0,6.33,1.12,Condo,967749.34
Lakeview,1299,3,1,1,18,0,0,1,6.03,0.65,Villa,726274.88
Lakeview,1885,4,1,2,21,1,0,0,6.85,0.84,Apartment,842797.59
Hillview,3038,1,3,3,34,2,0,1,9.77,1.11,Condo,1162888.69
Old Town,2347,4,2,2,31,1,0,0,9.23,0.14,Townhouse,975722.74
Riverside,2410,3,1,2,0,2,0,1,6.47,0.71,Townhouse,940819.08
Hillview,2163,1,1,2,27,1,1,1,7.65,0.19,Apartment,892911.5
Hillview,2281,2,3,2,33,2,0,1,5.96,1.1,Villa,994165.67
Riverside,2528,3,1,1,29,2,1,0,6.39,0.93,Villa,949889.1
Downtown,1655,2,1,2,19,0,1,0,5.33,0.52,Villa,793417.93
Suburban,2583,2,3,3,13,2,1,0,8.21,0.16,Townhouse,1149247.36
Lakeview,1345,4,2,1,26,0,0,0,8.28,1.39,Apartment,757361.64
Riverside,2281,3,2,3,26,1,0,0,9.19,0.51,Villa,1032852.97
Old Town,2198,3,3,3,14,1,0,1,9.36,0.45,Condo,996241.02
Old Town,1761,4,1,1,16,0,1,1,5.8,0.2,Townhouse,780048.59
Uptown,2088,1,2,2,14,2,0,1,8.72,0.89,Villa,1013393.34
Downtown,1758,2,3,3,1,1,0,0,5.67,0.44,Apartment,924939.81
Downtown,1511,1,2,2,1,0,1,0,6.87,1.27,Apartment,721504.91
Suburban,1906,5,1,3,3,0,1,0,7.58,1.04,Villa,896562.4
Old Town,1493,1,3,3,16,0,0,0,5.25,0.06,Apartment,739280.24
Hillview,2278,5,3,2,20,0,1,1,5.78,0.87,Apartment,1007726.02
Old Town,1467,1,1,3,16,0,0,0,6.36,0.39,Condo,708761.88
Old Town,2492,2,1,3,38,0,0,1,5.64,0.07,Condo,914700.72
Lakeview,1450,4,3,3,8,2,0,0,9.67,0.95,Townhouse,1039540.84
Suburban,1789,5,1,3,15,2,1,0,6.44,0.35,Condo,909138.03
Hillview,1756,1,3,1,9,2,0,0,7.51,1.35,Villa,831752.07
Old Town,2829,2,1,1,11,1,0,0,9.98,0.88,Townhouse,970769.03
Old Town,2282,5,3,1,23,2,1,0,7.83,0.35,Condo,965949.62
Uptown,1984,2,3,1,12,2,0,0,7.06,1.47,Apartment,878998.43
Suburban,2374,2,2,3,12,0,0,1,9.65,0.84,Villa,988706.03
Lakeview,941,4,1,2,26,2,0,1,6.11,0.29,Apartment,754952.17
Riverside,2076,1,2,2,33,2,1,0,5.9,0.8,Condo,828068.37
Old Town,3199,5,3,1,8,1,1,0,7.68,1.44,Condo,1089050.83
Old Town,2173,5,3,3,4,1,1,1,7.14,0.67,Townhouse,1044212.09
Uptown,2137,5,1,2,9,1,0,0,8.98,0.67,Townhouse,951115.59
Old Town,2401,2,2,3,23,0,1,1,5.21,0.72,Villa,923694.28
Suburban,2593,1,3,1,38,0,1,0,8.09,0.46,Apartment,857692.92
Downtown,1001,3,1,1,6,0,1,1,8.55,0.28,Condo,710573.42
Riverside,1175,2,3,1,1,0,1,1,9.86,0.89,Condo,725328.61
Uptown,2216,5,1,1,21,1,1,1,5.73,1.35,Condo,885599.27
Downtown,1707,4,3,3,39,1,0,1,6.23,1.12,Villa,908954.0
Lakeview,2822,5,1,2,22,0,0,0,9.66,0.19,Apartment,1122166.2
Old Town,1927,4,1,2,36,0,1,0,8.15,0.63,Townhouse,765517.49
Downtown,1036,4,2,1,25,2,0,0,5.19,0.06,Apartment,737262.4
Riverside,1403,1,2,1,1,2,1,1,5.39,0.5,Apartment,699613.31
Old Town,588,1,1,3,17,1,1,1,8.93,1.02,Condo,532377.48
Riverside,1971,1,2,3,30,2,0,0,7.84,0.47,Condo,875836.26
Downtown,1996,3,1,3,20,1,1,0,7.83,1.27,Villa,922188.44
Hillview,1867,2,3,3,7,0,0,1,9.4,0.74,Townhouse,980664.55
Hillview,2693,5,1,2,7,2,1,0,6.21,1.02,Townhouse,1075623.97
Downtown,2759,1,2,1,26,2,0,1,5.8,1.33,Apartment,879654.57
Suburban,2006,5,3,3,18,1,0,0,8.07,1.04,Apartment,961869.7
Suburban,926,4,1,3,22,1,1,0,9.41,1.35,Villa,744512.93
Hillview,2440,1,1,2,14,0,0,1,6.33,1.22,Condo,875744.74
Uptown,2405,1,3,1,13,1,0,1,8.41,0.87,Villa,1017728.39
Uptown,2270,2,1,3,26,1,0,0,5.76,0.48,Townhouse,913035.65
Lakeview,2640,2,3,3,0,1,1,0,5.86,0.48,Apartment,1088759.08
Uptown,1459,2,2,1,17,0,0,0,9.51,1.32,Condo,687461.73
Riverside,3205,3,3,1,14,2,0,1,5.59,0.13,Condo,1112475.52
Downtown,1572,1,1,3,31,1,0,0,5.12,1.42,Villa,737109.09
Hillview,2512,1,1,1,29,0,1,1,8.87,0.52,Apartment,879475.03
Lakeview,1172,4,3,3,17,2,0,1,6.81,1.12,Condo,902861.87
Lakeview,1588,5,3,3,10,1,0,1,6.98,0.53,Condo,1008957.72
Suburban,2934,2,3,1,9,1,1,0,9.0,1.43,Townhouse,998766.52
Suburban,1957,5,1,1,8,1,0,1,5.9,0.1,Villa,923486.19
Downtown,2562,2,2,2,10,1,1,1,8.25,0.56,Townhouse,1036568.84
Downtown,2230,2,2,2,30,0,0,0,6.57,1.31,Villa,908289.29
Old Town,2042,1,2,3,1,0,1,1,5.52,0.45,Townhouse,870270.51
Old Town,2850,3,1,2,1,2,0,1,8.44,0.45,Condo,1111873.33
Riverside,1970,3,2,1,21,1,1,0,6.59,1.35,Villa,860581.73
Riverside,1121,4,2,3,8,1,1,1,9.33,1.25,Apartment,844459.74
Uptown,1658,1,1,3,33,0,0,0,9.6,0.2,Townhouse,816762.33
Old Town,2403,1,2,2,30,2,0,0,9.25,0.89,Condo,889400.81
Uptown,2318,3,1,3,30,2,0,1,6.61,0.37,Apartment,1005965.86
Lakeview,1238,1,1,3,18,2,0,0,6.18,0.36,Condo,764018.15
Riverside,1702,1,1,3,17,1,1,1,9.46,0.94,Villa,877834.34
Suburban,1780,4,2,3,17,1,0,0,7.26,0.23,Townhouse,946826.5
Lakeview,1899,5,1,2,7,2,1,0,8.54,0.73,Townhouse,1010989.28
Hillview,1343,3,2,1,22,2,0,1,9.14,0.42,Apartment,842315.25
Riverside,1754,1,2,2,34,1,1,0,6.39,1.29,Apartment,691733.25
Hillview,1699,5,3,3,10,2,1,1,5.6,0.85,Condo,1034806.79
Old Town,2524,3,1,3,2,2,1,0,8.12,0.36,Townhouse,1070444.89
Lakeview,2545,4,2,3,22,2,1,0,7.95,1.39,Townhouse,1154039.24
Suburban,2020,1,1,2,15,0,1,0,6.35,1.24,Villa,792435.76
